Citroen;0800 011 80 88;Alta Confiabilidade
Samsung;0800 942 9060;Baixa Confiabilidade
Motorola;0800 704 7099, 0800 021 8484;Alta Confiabilidade
Honda;0800 055 22 21, 0800 017 12 13, (11) 2172 7080, (11) 2172 7007;Alta Confiabilidade
Eletrolux;0800 777 7836;Alta Confiabilidade
LG;(00) 00000-0000, (00) 0000-0000;Baixa Confiabilidade
Paco;0800 722 6001, 0800 704 3876;Alta Confiabilidade
Dell;0800 970 3384;Média Confiabilidade
Renner;(00) 0000-0000;Alta Confiabilidade
C&A;(11) 3585-2800, (11) 3585 2800;Alta Confiabilidade
Magazine Luiza;(11) 3508-9900;Alta Confiabilidade
Ricardo Eletro;00 1234 1234;Alta Confiabilidade
Panasonic;0800 776 0000;Baixa Confiabilidade
Citroen;0800 011 80 88;Alta Confiabilidade
Samsung;0800 942 9060;Baixa Confiabilidade
Motorola;0800 704 7099, 0800 021 8484;Alta Confiabilidade
Honda;0800 055 22 21, 0800 017 12 13, (11) 2172 7080, (11) 2172 7007;Alta Confiabilidade
Eletrolux;0800 777 7836;Alta Confiabilidade
LG;(00) 00000-0000, (00) 0000-0000;Baixa Confiabilidade
Paco;0800 722 6001, 0800 704 3876;Alta Confiabilidade
Dell;0800 970 3384;Média Confiabilidade
Renner;(00) 0000-0000;Alta Confiabilidade
C&A;(11) 3585-2800, (11) 3585 2800;Alta Confiabilidade
Magazine Luiza;(11) 3508-9900;Alta Confiabilidade
Ricardo Eletro;00 1234 1234;Alta Confiabilidade
Panasonic;0800 776 0000;Baixa Confiabilidade
Marisa;(11) 3383-7222, (11) 4004-2211;Média Confiabilidade
Americanas;0800 704 1166, 0800 722 0401, 0800 020 7410, 0800 286 8877, 0800 726 0604;Média Confiabilidade
Dafiti;0800 941 1360, (11) 3053-7500;Alta Confiabilidade
Shopping Aquarius;(14) 3402-9500;Alta Confiabilidade
Saraiva;(11) 3065-7200, (11) 3060-5100;Alta Confiabilidade
Citroen;0800 011 80 88;Alta Confiabilidade
Samsung;0800 942 9060;Baixa Confiabilidade
